sample_id,model,method,prediction,probability,llm_sentiment,prediction_llm_agreement,topk_recall,jaccard,signed_cosine,evidence_mass,polarity_agreement,llm_match_score,xai_top_words,llm_evidence_words,sample_type
case_027,cnn,integrated_gradients_steps50,negative,0.9695852398872375,negative,True,0.375,0.375,0.615807,1.0,1.0,0.528952,웹툰이 | 그냥 | 수준,원작 | 웹툰이 | 훨씬 | 나음.. | 실사화는 | 그냥 | 폭망 | 수준,custom
case_028,cnn,integrated_gradients_steps50,positive,0.9656215906143188,positive,True,0.5,0.5,0.517685,0.797081,0.666667,0.548984,인생 | 건짐... | 설렘,완전 | 인생 | 영화 | 건짐... | 설렘 | 터짐,custom
case_029,cnn,integrated_gradients_steps50,negative,0.9995947480201721,negative,True,0.428571,0.428571,0.655297,1.0,1.0,0.570967,1점도 | 아깝다 | 엉망진창임,1점도 | 아깝다 | 스토리 | 연출 | 캐스팅 | 다 | 엉망진창임,custom
case_030,cnn,integrated_gradients_steps50,positive,0.9928559064865112,positive,True,0.0,0.0,0.208527,0.241893,0.0,0.088416,가슴 | 아픈 | 사실을,잘 | 담아낸 | 의미 | 있는 | 영화입니다. | 먹먹하네요.,custom
case_001,cnn,integrated_gradients_steps100,positive,0.9897575378417969,positive,True,0.666667,0.5,0.627065,0.970265,1.0,0.660639,영화 | 정말 | 재미있어요,정말 | 재미있어요 | 추천합니다,custom
case_002,cnn,integrated_gradients_steps100,negative,0.9862291812896729,negative,True,0.6,0.6,0.661095,1.0,1.0,0.675274,스토리가 | 지루하고 | 별로네요,스토리가 | 지루하고 | 배우들 | 연기도 | 별로네요,custom
case_003,cnn,integrated_gradients_steps100,positive,0.9185996651649475,positive,True,0.6,0.6,0.648743,1.0,1.0,0.672186,지루했는데 | 정말 | 재미있어지네요,처음엔 | 지루했는데 | 갈수록 | 정말 | 재미있어지네요,custom
case_004,cnn,integrated_gradients_steps100,negative,0.976716160774231,negative,True,0.5,0.5,0.734024,1.0,1.0,0.633506,명품인데 | 각본이 | 쓰레기네요,배우들의 | 연기는 | 명품인데 | 각본이 | 너무 | 쓰레기네요,custom
case_005,cnn,integrated_gradients_steps100,negative,0.70521080493927,negative,True,0.375,0.375,0.408272,0.992061,0.666667,0.475877,돈을 | 쓰다니 | 대단하다,이런 | 영화에 | 내 | 피 | 같은 | 돈을 | 쓰다니 | 대단하다,custom
case_006,cnn,integrated_gradients_steps100,positive,0.8118757009506226,negative,False,0.4,0.333333,0.231015,0.552842,0.5,0.364013,수면제 | 좋은 | 훌륭한,수면제 | 대신 | 보면 | 딱 | 좋은,custom
case_007,cnn,integrated_gradients_steps100,positive,0.9715786576271057,positive,True,0.666667,0.5,0.797323,0.951694,1.0,0.700418,진짜 | 개존잼!!! | 꼭보세요,개존잼!!! | 꼭보세요 | ㅋㅋㅋ,custom
case_008,cnn,integrated_gradients_steps100,negative,0.9990574717521667,negative,True,0.75,0.75,0.7784,0.894057,1.0,0.778709,시간낭비 | 다신 | 안봄,시간낭비 | 다신 | 안봄 | ㅡㅡ,custom
case_009,cnn,integrated_gradients_steps100,positive,0.7318828701972961,positive,True,0.75,0.75,0.48249,0.942264,0.666667,0.711962,지루하긴 | 배우들은 | 멋있음,스토리가 | 지루하긴 | 배우들은 | 멋있음,custom
case_010,cnn,integrated_gradients_steps100,negative,0.9996144771575928,negative,True,1.0,1.0,0.962663,1.0,1.0,0.990666,개노잼임 | ㅡㅡ,개노잼임 | ㅡㅡ,custom
case_011,cnn,integrated_gradients_steps100,negative,0.997015118598938,negative,True,0.5,0.5,0.504536,1.0,1.0,0.576134,알바들만 | 돈 | 아깝다,평점 | 알바들만 | 넘치네 | 진짜 | 돈 | 아깝다,custom
case_012,cnn,integrated_gradients_steps100,positive,0.9975270628929138,positive,True,0.375,0.375,0.405998,1.0,1.0,0.4765,가슴 | 먹먹해지는 | 수작.,어설픈 | 신파보다 | 백배 | 천배 | 낫다. | 가슴 | 먹먹해지는 | 수작.,custom
case_013,cnn,integrated_gradients_steps100,negative,0.9921754002571106,negative,True,0.6,0.6,0.75016,0.979203,1.0,0.69442,재미는 | 없음... | 때우기용도,재미는 | 없음... | 시간 | 때우기용도 | 안됨,custom
case_014,cnn,integrated_gradients_steps100,negative,0.999669075012207,negative,True,0.5,0.5,0.777403,1.0,1.0,0.644351,개연성이 | 밥말아먹었나 | 모양임?,개연성이 | 밥말아먹었나 | 스토리가 | 왜 | 이 | 모양임?,custom
case_015,cnn,integrated_gradients_steps100,positive,0.925296425819397,positive,True,0.375,0.375,0.297672,1.0,0.666667,0.449418,삼박자가 | 완벽하다. | 꼭,"연출, | 연기, | 음악 | 삼박자가 | 완벽하다. | 꼭 | 극장가서 | 보세요.",custom
case_016,cnn,integrated_gradients_steps100,negative,0.9830611348152161,negative,True,0.666667,0.5,0.547846,0.66545,1.0,0.595112,재밌다길래 | 개노잼임 | 절대보지마셈,진짜 | 개노잼임 | 절대보지마셈,custom
case_017,cnn,integrated_gradients_steps100,positive,0.9999328851699829,positive,True,0.6,0.6,0.829525,0.935791,1.0,0.70775,가슴 | 따뜻해지는 | 웰메이드,가슴 | 따뜻해지는 | 웰메이드 | 영화 | 강추!!,custom
case_018,cnn,integrated_gradients_steps100,negative,0.9848324656486511,negative,True,0.333333,0.285714,0.548558,0.865966,1.0,0.45513,한국식 | 억지 | 극혐,뻔하디 | 뻔한 | 억지 | 감동 | 짜내기 | 극혐,custom
case_019,cnn,integrated_gradients_steps100,negative,0.9812391996383667,negative,True,0.428571,0.428571,0.496114,0.985325,1.0,0.52897,돌려내라 | 감독 | 누구냐,내 | 돈이랑 | 시간 | 돌려내라 | 감독 | 누구냐 | 진짜,custom
case_020,cnn,integrated_gradients_steps100,positive,0.959521472454071,positive,True,0.333333,0.285714,0.482757,0.561821,1.0,0.393058,힐링 | 제대로 | ㅠㅠ,힐링 | 제대로 | 하고 | 옴 | 연기도 | 찰떡,custom
case_021,cnn,integrated_gradients_steps100,negative,0.9880245327949524,negative,True,0.428571,0.428571,0.51194,0.989934,0.666667,0.533618,오? | 산으로 | 어이없음,초반엔 | 오? | 후반 | 갈수록 | 산으로 | 가네 | 어이없음,custom
case_022,cnn,integrated_gradients_steps100,positive,0.9833064675331116,positive,True,0.4,0.333333,0.571501,0.742728,1.0,0.477618,인생작입니다. | 시트콤 | 최고라고,인생작입니다. | 감히 | 최고라고 | 말하고 | 싶네요.,custom
case_023,cnn,integrated_gradients_steps100,negative,0.9969316720962524,negative,True,0.75,0.75,0.676375,1.0,0.666667,0.769094,지루해서 | 중간에 | 돈날림주의;;;,지루해서 | 중간에 | 나왔어요 | 돈날림주의;;;,custom
case_024,cnn,integrated_gradients_steps100,negative,0.8828639984130859,negative,True,0.272727,0.272727,0.788831,0.96843,1.0,0.506109,아름답고 | 엉성해서 | 실망스러웠습니다.,연기도 | 좋고 | 영상도 | 아름답고 | 음악도 | 훌륭했지만 | 스토리가 | 너무 | 엉성해서 | 전체적으로는 | 실망스러웠습니다.,custom
case_025,cnn,integrated_gradients_steps100,positive,0.6135897040367126,positive,True,0.5,0.5,0.42718,0.988776,0.666667,0.555111,제격임 | 유치하긴 | 좋네요,킬링타임으로 | 제격임 | 유치하긴 | 가볍게 | 웃기 | 좋네요,custom
case_026,cnn,integrated_gradients_steps100,positive,0.9844313263893127,positive,True,0.4,0.333333,0.695158,0.652715,1.0,0.49503,왜 | 명작인데 | 억까들,생각보다 | 완전 | 명작인데 | 억까들 | 많네,custom
case_027,cnn,integrated_gradients_steps100,negative,0.9695852398872375,negative,True,0.375,0.375,0.614642,1.0,1.0,0.528661,웹툰이 | 그냥 | 수준,원작 | 웹툰이 | 훨씬 | 나음.. | 실사화는 | 그냥 | 폭망 | 수준,custom
case_028,cnn,integrated_gradients_steps100,positive,0.9656215906143188,positive,True,0.5,0.5,0.520197,0.797515,0.666667,0.549677,인생 | 건짐... | 설렘,완전 | 인생 | 영화 | 건짐... | 설렘 | 터짐,custom
case_029,cnn,integrated_gradients_steps100,negative,0.9995947480201721,negative,True,0.428571,0.428571,0.655561,1.0,1.0,0.571033,1점도 | 아깝다 | 엉망진창임,1점도 | 아깝다 | 스토리 | 연출 | 캐스팅 | 다 | 엉망진창임,custom
case_030,cnn,integrated_gradients_steps100,positive,0.9928559064865112,positive,True,0.0,0.0,0.210689,0.242926,0.0,0.089111,가슴 | 아픈 | 사실을,잘 | 담아낸 | 의미 | 있는 | 영화입니다. | 먹먹하네요.,custom
case_001,fnn,occlusion,positive,0.9372,positive,True,0.666667,0.5,0.66161,0.882012,1.0,0.656038,영화 | 재미있어요 | 추천합니다,정말 | 재미있어요 | 추천합니다,custom
case_002,fnn,occlusion,negative,0.9815,negative,True,0.6,0.6,0.53804,1.0,0.666667,0.64451,스토리가 | 지루하고 | 별로네요,스토리가 | 지루하고 | 배우들 | 연기도 | 별로네요,custom
case_003,fnn,occlusion,positive,0.6427,positive,True,0.6,0.6,0.515317,1.0,0.666667,0.638829,지루했는데 | 갈수록 | 재미있어지네요,처음엔 | 지루했는데 | 갈수록 | 정말 | 재미있어지네요,custom
case_004,fnn,occlusion,negative,0.8229,negative,True,0.5,0.5,0.586659,1.0,1.0,0.596665,명품인데 | 각본이 | 쓰레기네요,배우들의 | 연기는 | 명품인데 | 각본이 | 너무 | 쓰레기네요,custom
case_005,fnn,occlusion,negative,0.8195,negative,True,0.375,0.375,0.504926,0.938339,0.666667,0.491982,피 | 돈을 | 대단하다,이런 | 영화에 | 내 | 피 | 같은 | 돈을 | 쓰다니 | 대단하다,custom
case_006,fnn,occlusion,positive,0.759,negative,False,0.2,0.142857,-0.086339,0.518888,0.0,0.183547,좋은 | 훌륭한 | 영화입니다,수면제 | 대신 | 보면 | 딱 | 좋은,custom
case_007,fnn,occlusion,positive,0.9194,positive,True,0.666667,0.5,0.429786,0.690424,0.5,0.569343,와 | 개존잼!!! | 꼭보세요,개존잼!!! | 꼭보세요 | ㅋㅋㅋ,custom
case_008,fnn,occlusion,negative,0.996,negative,True,0.5,0.4,0.61482,0.94499,1.0,0.570454,시간낭비 | 지리구요 | ㅡㅡ,시간낭비 | 다신 | 안봄 | ㅡㅡ,custom
case_009,fnn,occlusion,negative,0.8264,positive,False,0.5,0.4,0.387846,0.615337,1.0,0.464262,지루하긴 | 한데 | 멋있음,스토리가 | 지루하긴 | 배우들은 | 멋있음,custom
case_010,fnn,occlusion,negative,0.9984,negative,True,1.0,1.0,0.876074,1.0,1.0,0.969019,개노잼임 | ㅡㅡ,개노잼임 | ㅡㅡ,custom
case_011,fnn,occlusion,negative,0.992,negative,True,0.5,0.5,0.578947,1.0,1.0,0.594737,알바들만 | 돈 | 아깝다,평점 | 알바들만 | 넘치네 | 진짜 | 돈 | 아깝다,custom
case_012,fnn,occlusion,positive,0.687,positive,True,0.375,0.375,0.394315,1.0,0.666667,0.473579,어설픈 | 가슴 | 수작.,어설픈 | 신파보다 | 백배 | 천배 | 낫다. | 가슴 | 먹먹해지는 | 수작.,custom
case_013,fnn,occlusion,negative,0.9935,negative,True,0.6,0.6,0.730715,0.947681,1.0,0.684831,없음... | 때우기용도 | 안됨,재미는 | 없음... | 시간 | 때우기용도 | 안됨,custom
case_014,fnn,occlusion,negative,0.9992,negative,True,0.5,0.5,0.563612,1.0,1.0,0.590903,개연성이 | 밥말아먹었나 | 스토리가,개연성이 | 밥말아먹었나 | 스토리가 | 왜 | 이 | 모양임?,custom
case_015,fnn,occlusion,positive,0.9935,positive,True,0.375,0.375,0.5219,1.0,1.0,0.505475,음악 | 완벽하다. | 꼭,"연출, | 연기, | 음악 | 삼박자가 | 완벽하다. | 꼭 | 극장가서 | 보세요.",custom
case_016,fnn,occlusion,negative,0.8794,negative,True,0.666667,0.5,0.616013,0.871308,1.0,0.643033,재밌다길래 | 개노잼임 | 절대보지마셈,진짜 | 개노잼임 | 절대보지마셈,custom
case_017,fnn,occlusion,positive,0.9998,positive,True,0.6,0.6,0.789723,0.750472,1.0,0.670002,따뜻해지는 | 웰메이드 | 강추!!,가슴 | 따뜻해지는 | 웰메이드 | 영화 | 강추!!,custom
case_018,fnn,occlusion,negative,0.9951,negative,True,0.5,0.5,0.759331,0.986761,1.0,0.637847,뻔한 | 억지 | 극혐,뻔하디 | 뻔한 | 억지 | 감동 | 짜내기 | 극혐,custom
case_019,fnn,occlusion,negative,0.9872,negative,True,0.428571,0.428571,0.607717,0.928998,1.0,0.548422,돈이랑 | 감독 | 누구냐,내 | 돈이랑 | 시간 | 돌려내라 | 감독 | 누구냐 | 진짜,custom
case_020,fnn,occlusion,positive,0.9265,positive,True,0.333333,0.285714,0.429358,0.685312,1.0,0.398232,힐링 | ㅠㅠ | 연기도,힐링 | 제대로 | 하고 | 옴 | 연기도 | 찰떡,custom
case_021,fnn,occlusion,negative,0.9548,negative,True,0.428571,0.428571,0.578306,0.929245,1.0,0.541106,초반엔 | 오? | 어이없음,초반엔 | 오? | 후반 | 갈수록 | 산으로 | 가네 | 어이없음,custom
case_022,fnn,occlusion,positive,0.9681,positive,True,0.4,0.333333,0.448318,0.660683,1.0,0.434515,인생작입니다. | 중에 | 최고라고,인생작입니다. | 감히 | 최고라고 | 말하고 | 싶네요.,custom
case_023,fnn,occlusion,negative,0.9943,negative,True,0.75,0.75,0.690794,1.0,1.0,0.772698,지루해서 | 나왔어요 | 돈날림주의;;;,지루해서 | 중간에 | 나왔어요 | 돈날림주의;;;,custom
case_024,fnn,occlusion,negative,0.9496,negative,True,0.181818,0.166667,0.575877,0.826127,1.0,0.373191,정작 | 엉성해서 | 실망스러웠습니다.,연기도 | 좋고 | 영상도 | 아름답고 | 음악도 | 훌륭했지만 | 스토리가 | 너무 | 엉성해서 | 전체적으로는 | 실망스러웠습니다.,custom
case_025,fnn,occlusion,positive,0.6236,positive,True,0.333333,0.285714,0.661754,0.781601,1.0,0.470774,유치하긴 | 한데 | 좋네요,킬링타임으로 | 제격임 | 유치하긴 | 가볍게 | 웃기 | 좋네요,custom
case_026,fnn,occlusion,positive,0.6697,positive,True,0.4,0.333333,0.59885,0.81533,1.0,0.495345,왜 | 명작인데 | 억까들,생각보다 | 완전 | 명작인데 | 억까들 | 많네,custom
case_027,fnn,occlusion,negative,0.9725,negative,True,0.375,0.375,0.593026,1.0,1.0,0.523257,웹툰이 | 그냥 | 폭망,원작 | 웹툰이 | 훨씬 | 나음.. | 실사화는 | 그냥 | 폭망 | 수준,custom
case_028,fnn,occlusion,positive,0.9897,positive,True,0.333333,0.285714,0.569513,0.762259,1.0,0.444812,볼 | 인생 | 설렘,완전 | 인생 | 영화 | 건짐... | 설렘 | 터짐,custom
case_029,fnn,occlusion,negative,0.9991,negative,True,0.428571,0.428571,0.548648,1.0,1.0,0.544305,1점도 | 아깝다 | 엉망진창임,1점도 | 아깝다 | 스토리 | 연출 | 캐스팅 | 다 | 엉망진창임,custom
case_030,fnn,occlusion,positive,0.9994,positive,True,0.166667,0.125,0.485681,0.502815,1.0,0.286426,가슴 | 사실을 | 영화입니다.,잘 | 담아낸 | 의미 | 있는 | 영화입니다. | 먹먹하네요.,custom
case_001,fnn,lime,positive,0.9372,positive,True,0.666667,0.5,0.758928,0.749491,1.0,0.660489,영화 | 재미있어요 | 추천합니다,정말 | 재미있어요 | 추천합니다,custom
case_002,fnn,lime,negative,0.9815,negative,True,0.6,0.6,0.748838,1.0,1.0,0.697209,지루하고 | 배우들 | 별로네요,스토리가 | 지루하고 | 배우들 | 연기도 | 별로네요,custom
case_003,fnn,lime,positive,0.6427,positive,True,0.6,0.6,0.594149,1.0,1.0,0.658537,지루했는데 | 정말 | 재미있어지네요,처음엔 | 지루했는데 | 갈수록 | 정말 | 재미있어지네요,custom
case_004,fnn,lime,negative,0.8229,negative,True,0.5,0.5,0.662047,1.0,1.0,0.615512,명품인데 | 각본이 | 쓰레기네요,배우들의 | 연기는 | 명품인데 | 각본이 | 너무 | 쓰레기네요,custom
case_005,fnn,lime,negative,0.8195,negative,True,0.25,0.222222,0.378177,0.887535,0.5,0.37073,와... | 돈을 | 대단하다,이런 | 영화에 | 내 | 피 | 같은 | 돈을 | 쓰다니 | 대단하다,custom
case_006,fnn,lime,positive,0.759,negative,False,0.4,0.333333,0.262335,0.747473,0.5,0.401038,수면제 | 좋은 | 훌륭한,수면제 | 대신 | 보면 | 딱 | 좋은,custom
case_007,fnn,lime,positive,0.9194,positive,True,0.333333,0.2,0.537707,0.787605,1.0,0.419234,와 | 진짜 | 꼭보세요,개존잼!!! | 꼭보세요 | ㅋㅋㅋ,custom
case_008,fnn,lime,negative,0.996,negative,True,0.75,0.75,0.872327,0.870804,1.0,0.798702,시간낭비 | 다신 | ㅡㅡ,시간낭비 | 다신 | 안봄 | ㅡㅡ,custom
case_009,fnn,lime,negative,0.8264,positive,False,0.5,0.4,0.41402,0.727471,1.0,0.487626,지루하긴 | 한데 | 멋있음,스토리가 | 지루하긴 | 배우들은 | 멋있음,custom
case_010,fnn,lime,negative,0.9984,negative,True,1.0,1.0,0.764086,1.0,0.5,0.941022,개노잼임 | ㅡㅡ,개노잼임 | ㅡㅡ,custom
case_011,fnn,lime,negative,0.992,negative,True,0.5,0.5,0.63576,1.0,1.0,0.60894,알바들만 | 돈 | 아깝다,평점 | 알바들만 | 넘치네 | 진짜 | 돈 | 아깝다,custom
case_012,fnn,lime,positive,0.687,positive,True,0.375,0.375,0.144684,1.0,0.666667,0.411171,어설픈 | 가슴 | 수작.,어설픈 | 신파보다 | 백배 | 천배 | 낫다. | 가슴 | 먹먹해지는 | 수작.,custom
case_013,fnn,lime,negative,0.9935,negative,True,0.6,0.6,0.811398,0.870376,1.0,0.693406,없음... | 때우기용도 | 안됨,재미는 | 없음... | 시간 | 때우기용도 | 안됨,custom
case_014,fnn,lime,negative,0.9992,negative,True,0.5,0.5,0.675416,1.0,1.0,0.618854,개연성이 | 밥말아먹었나 | 모양임?,개연성이 | 밥말아먹었나 | 스토리가 | 왜 | 이 | 모양임?,custom
case_015,fnn,lime,positive,0.9935,positive,True,0.375,0.375,0.497193,1.0,0.666667,0.499298,완벽하다. | 꼭 | 극장가서,"연출, | 연기, | 음악 | 삼박자가 | 완벽하다. | 꼭 | 극장가서 | 보세요.",custom
case_016,fnn,lime,negative,0.8794,negative,True,0.666667,0.5,0.57662,0.680938,1.0,0.604629,재밌다길래 | 개노잼임 | 절대보지마셈,진짜 | 개노잼임 | 절대보지마셈,custom
case_017,fnn,lime,positive,0.9998,positive,True,0.4,0.333333,0.797512,0.710819,1.0,0.529334,오랜만에 | 따뜻해지는 | 웰메이드,가슴 | 따뜻해지는 | 웰메이드 | 영화 | 강추!!,custom
case_018,fnn,lime,negative,0.9951,negative,True,0.5,0.5,0.661141,0.969455,0.666667,0.610703,억지 | 감동 | 극혐,뻔하디 | 뻔한 | 억지 | 감동 | 짜내기 | 극혐,custom
case_019,fnn,lime,negative,0.9872,negative,True,0.428571,0.428571,0.787794,0.960955,1.0,0.598235,돈이랑 | 감독 | 누구냐,내 | 돈이랑 | 시간 | 돌려내라 | 감독 | 누구냐 | 진짜,custom
case_020,fnn,lime,positive,0.9265,positive,True,0.166667,0.125,0.300676,0.560956,1.0,0.248896,배우들 | 힐링 | ㅠㅠ,힐링 | 제대로 | 하고 | 옴 | 연기도 | 찰떡,custom
case_021,fnn,lime,negative,0.9548,negative,True,0.428571,0.428571,0.625747,0.926341,1.0,0.552531,갈수록 | 산으로 | 어이없음,초반엔 | 오? | 후반 | 갈수록 | 산으로 | 가네 | 어이없음,custom
case_022,fnn,lime,positive,0.9681,positive,True,0.4,0.333333,0.472352,0.666779,1.0,0.441438,인생작입니다. | 중에 | 최고라고,인생작입니다. | 감히 | 최고라고 | 말하고 | 싶네요.,custom
case_023,fnn,lime,negative,0.9943,negative,True,0.75,0.75,0.910393,1.0,1.0,0.827598,지루해서 | 중간에 | 돈날림주의;;;,지루해서 | 중간에 | 나왔어요 | 돈날림주의;;;,custom
case_024,fnn,lime,negative,0.9496,negative,True,0.272727,0.272727,0.63493,0.899096,1.0,0.457233,아름답고 | 엉성해서 | 실망스러웠습니다.,연기도 | 좋고 | 영상도 | 아름답고 | 음악도 | 훌륭했지만 | 스토리가 | 너무 | 엉성해서 | 전체적으로는 | 실망스러웠습니다.,custom
case_025,fnn,lime,positive,0.6236,positive,True,0.5,0.5,0.681008,0.795278,1.0,0.589544,제격임 | 유치하긴 | 좋네요,킬링타임으로 | 제격임 | 유치하긴 | 가볍게 | 웃기 | 좋네요,custom
case_026,fnn,lime,positive,0.6697,positive,True,0.4,0.333333,0.523464,0.798158,1.0,0.473923,왜 | 명작인데 | 억까들,생각보다 | 완전 | 명작인데 | 억까들 | 많네,custom
case_027,fnn,lime,negative,0.9725,negative,True,0.375,0.375,0.662856,1.0,1.0,0.540714,훨씬 | 폭망 | 수준,원작 | 웹툰이 | 훨씬 | 나음.. | 실사화는 | 그냥 | 폭망 | 수준,custom
case_028,fnn,lime,positive,0.9897,positive,True,0.333333,0.285714,0.264917,0.58435,0.5,0.341977,볼 | 건짐... | 설렘,완전 | 인생 | 영화 | 건짐... | 설렘 | 터짐,custom
case_029,fnn,lime,negative,0.9991,negative,True,0.428571,0.428571,0.8067,1.0,1.0,0.608818,1점도 | 아깝다 | 엉망진창임,1점도 | 아깝다 | 스토리 | 연출 | 캐스팅 | 다 | 엉망진창임,custom
case_030,fnn,lime,positive,0.9994,positive,True,0.0,0.0,0.067007,0.273935,0.0,0.057842,가슴 | 아픈 | 사실을,잘 | 담아낸 | 의미 | 있는 | 영화입니다. | 먹먹하네요.,custom
case_001,fnn,integrated_gradients_steps50,positive,0.9372,positive,True,0.666667,0.5,0.822766,0.868914,1.0,0.694362,영화 | 재미있어요 | 추천합니다,정말 | 재미있어요 | 추천합니다,custom
case_002,fnn,integrated_gradients_steps50,negative,0.9815,negative,True,0.6,0.6,0.659853,1.0,1.0,0.674963,지루하고 | 배우들 | 별로네요,스토리가 | 지루하고 | 배우들 | 연기도 | 별로네요,custom
case_003,fnn,integrated_gradients_steps50,positive,0.6427,positive,True,0.6,0.6,0.418113,1.0,0.666667,0.614528,처음엔 | 지루했는데 | 재미있어지네요,처음엔 | 지루했는데 | 갈수록 | 정말 | 재미있어지네요,custom
case_004,fnn,integrated_gradients_steps50,negative,0.8229,negative,True,0.5,0.5,0.633465,1.0,1.0,0.608366,연기는 | 명품인데 | 쓰레기네요,배우들의 | 연기는 | 명품인데 | 각본이 | 너무 | 쓰레기네요,custom
case_005,fnn,integrated_gradients_steps50,negative,0.8195,negative,True,0.25,0.222222,0.173358,0.893447,0.5,0.320412,와... | 돈을 | 대단하다,이런 | 영화에 | 내 | 피 | 같은 | 돈을 | 쓰다니 | 대단하다,custom
case_006,fnn,integrated_gradients_steps50,positive,0.759,negative,False,0.4,0.333333,0.172083,0.631647,0.5,0.361101,수면제 | 좋은 | 훌륭한,수면제 | 대신 | 보면 | 딱 | 좋은,custom
case_007,fnn,integrated_gradients_steps50,positive,0.9194,positive,True,0.333333,0.2,0.45911,0.650256,1.0,0.378983,와 | 진짜 | 꼭보세요,개존잼!!! | 꼭보세요 | ㅋㅋㅋ,custom
case_008,fnn,integrated_gradients_steps50,negative,0.996,negative,True,0.5,0.4,0.706095,0.753694,1.0,0.564578,시간낭비 | 지리구요 | ㅡㅡ,시간낭비 | 다신 | 안봄 | ㅡㅡ,custom
case_009,fnn,integrated_gradients_steps50,negative,0.8264,positive,False,0.5,0.4,0.508087,0.696633,1.0,0.506517,지루하긴 | 한데 | 멋있음,스토리가 | 지루하긴 | 배우들은 | 멋있음,custom
case_010,fnn,integrated_gradients_steps50,negative,0.9984,negative,True,1.0,1.0,0.977499,1.0,1.0,0.994375,개노잼임 | ㅡㅡ,개노잼임 | ㅡㅡ,custom
case_011,fnn,integrated_gradients_steps50,negative,0.992,negative,True,0.5,0.5,0.501504,1.0,1.0,0.575376,알바들만 | 돈 | 아깝다,평점 | 알바들만 | 넘치네 | 진짜 | 돈 | 아깝다,custom
case_012,fnn,integrated_gradients_steps50,positive,0.687,positive,True,0.375,0.375,0.17335,1.0,0.666667,0.418338,어설픈 | 가슴 | 수작.,어설픈 | 신파보다 | 백배 | 천배 | 낫다. | 가슴 | 먹먹해지는 | 수작.,custom
case_013,fnn,integrated_gradients_steps50,negative,0.9935,negative,True,0.6,0.6,0.836893,0.99608,1.0,0.718635,없음... | 때우기용도 | 안됨,재미는 | 없음... | 시간 | 때우기용도 | 안됨,custom
case_014,fnn,integrated_gradients_steps50,negative,0.9992,negative,True,0.5,0.5,0.721668,1.0,1.0,0.630417,개연성이 | 밥말아먹었나 | 스토리가,개연성이 | 밥말아먹었나 | 스토리가 | 왜 | 이 | 모양임?,custom
case_015,fnn,integrated_gradients_steps50,positive,0.9935,positive,True,0.375,0.375,0.680494,1.0,1.0,0.545123,음악 | 완벽하다. | 꼭,"연출, | 연기, | 음악 | 삼박자가 | 완벽하다. | 꼭 | 극장가서 | 보세요.",custom
case_016,fnn,integrated_gradients_steps50,negative,0.8794,negative,True,0.666667,0.5,0.461278,0.603707,1.0,0.564209,재밌다길래 | 개노잼임 | 절대보지마셈,진짜 | 개노잼임 | 절대보지마셈,custom
case_017,fnn,integrated_gradients_steps50,positive,0.9998,positive,True,0.4,0.333333,0.770628,0.691546,1.0,0.519722,오랜만에 | 따뜻해지는 | 강추!!,가슴 | 따뜻해지는 | 웰메이드 | 영화 | 강추!!,custom
case_018,fnn,integrated_gradients_steps50,negative,0.9951,negative,True,0.5,0.5,0.545244,0.964835,0.666667,0.581036,억지 | 감동 | 극혐,뻔하디 | 뻔한 | 억지 | 감동 | 짜내기 | 극혐,custom
case_019,fnn,integrated_gradients_steps50,negative,0.9872,negative,True,0.428571,0.428571,0.732391,0.905129,1.0,0.57601,돈이랑 | 감독 | 누구냐,내 | 돈이랑 | 시간 | 돌려내라 | 감독 | 누구냐 | 진짜,custom
case_020,fnn,integrated_gradients_steps50,positive,0.9265,positive,True,0.333333,0.285714,0.375701,0.57516,1.0,0.368295,힐링 | ㅠㅠ | 연기도,힐링 | 제대로 | 하고 | 옴 | 연기도 | 찰떡,custom
case_021,fnn,integrated_gradients_steps50,negative,0.9548,negative,True,0.428571,0.428571,0.677894,0.919846,1.0,0.564593,초반엔 | 산으로 | 어이없음,초반엔 | 오? | 후반 | 갈수록 | 산으로 | 가네 | 어이없음,custom
case_022,fnn,integrated_gradients_steps50,positive,0.9681,positive,True,0.4,0.333333,0.471322,0.653109,1.0,0.43913,인생작입니다. | 중에 | 최고라고,인생작입니다. | 감히 | 최고라고 | 말하고 | 싶네요.,custom
case_023,fnn,integrated_gradients_steps50,negative,0.9943,negative,True,0.75,0.75,0.792439,1.0,1.0,0.79811,지루해서 | 나왔어요 | 돈날림주의;;;,지루해서 | 중간에 | 나왔어요 | 돈날림주의;;;,custom
case_024,fnn,integrated_gradients_steps50,negative,0.9496,negative,True,0.272727,0.272727,0.642154,0.893018,1.0,0.458127,훌륭했지만 | 엉성해서 | 실망스러웠습니다.,연기도 | 좋고 | 영상도 | 아름답고 | 음악도 | 훌륭했지만 | 스토리가 | 너무 | 엉성해서 | 전체적으로는 | 실망스러웠습니다.,custom
case_025,fnn,integrated_gradients_steps50,positive,0.6236,positive,True,0.5,0.5,0.666317,0.799891,1.0,0.586563,제격임 | 유치하긴 | 좋네요,킬링타임으로 | 제격임 | 유치하긴 | 가볍게 | 웃기 | 좋네요,custom
case_026,fnn,integrated_gradients_steps50,positive,0.6697,positive,True,0.6,0.6,0.62281,0.943586,0.666667,0.65724,명작인데 | 억까들 | 많네,생각보다 | 완전 | 명작인데 | 억까들 | 많네,custom
